Brand;Material;Variant;Color,hex
Jayo;PLA+;;PLA+ Schwarz;#000000
Jayo;PLA+;;PLA+ Weiß;#FFFFFF
Jayo;PLA+;;PLA+ Grau;#9E9E9E
Jayo;PLA+;;PLA+ Rot;#E53935
Jayo;PLA+;;PLA+ Blau;#1E88E5
Jayo;PLA+;;PLA+ Grün;#43A047
Jayo;PLA+;;PLA+ Orange;#FB8C00
Jayo;PLA+;;PLA+ Gelb;#FDD835
Jayo;PLA+;;PLA+ Fuchsia;
Jayo;PLA+;;PLA+ Cyan;
Jayo;PLA+;;PLA+ Transparent;
Jayo;PLA+;;PLA+ Transparent Rot;#E53935
Jayo;PLA+;;PLA+ Transparent Blau;#1E88E5
Jayo;PLA+;;PLA+ Transparent Grün;#43A047
Jayo;PLA+;;PLA+ Transparent Orange;#FB8C00
Jayo;PLA+;;PLA+ Transparent Gelb;#FDD835
Jayo;PLA+;;PLA+ Transparent Lila;#8E24AA
Jayo;PLA+;;PLA+ Silber;
Jayo;PLA+;;PLA+ Olivgrün;#43A047
Jayo;PLA+;;PLA+ Lila;#8E24AA
Jayo;PLA+;;PLA+ Schokolade;
Jayo;PLA+;;PLA+ Kirschrot;#E53935
Jayo;PLA+;;PLA+ Himmelblau;#1E88E5
Jayo;PLA+;;PLA+ Minzgrün;#43A047
Jayo;PLA+;;PLA+ Sonniges Orange;#FB8C00
Jayo;PLA+;;PLA+ Zitronengelb;#FDD835
Jayo;PLA+;;PLA+ Sakura Rosa;#FF66CC
Jayo;PLA+;;PLA+ Kaffee;
Jayo;PLA+;;PLA+ Gold;#D4AF37
Jayo;PLA+;;PLA+ Grasgrün;#43A047
Jayo;PETG;;PETG Schwarz;#000000
Jayo;PETG;;PETG Weiß;#FFFFFF
Jayo;PETG;;PETG Grau;#9E9E9E
Jayo;PETG;;PETG Rot;#E53935
Jayo;PETG;;PETG Blau;#1E88E5
Jayo;PETG;;PETG Grün;#43A047
Jayo;PETG;;PETG Orange;#FB8C00
Jayo;PETG;;PETG Transparent;
Jayo;PETG;;PETG Transparent Rot;#E53935
Jayo;PETG;;PETG Transparent Blau;#1E88E5
Jayo;PETG;;PETG Transparent Grün;#43A047
Jayo;PETG;;PETG Transparent Orange;#FB8C00
Jayo;PETG;;PETG Transparent Gelb;#FDD835
Jayo;PETG;;PETG Gelb;#FDD835
Jayo;PETG;;PETG Olivgrün;#43A047
Jayo;PETG;;PETG Silber;
Jayo;PETG;;PETG Kaffee;
Jayo;PETG;;PETG Kirschrot;#E53935
Jayo;PETG;;PETG Himmelblau;#1E88E5
Jayo;PETG;;PETG Minzgrün;#43A047
Jayo;PETG;;PETG Sonniges Orange;#FB8C00
Jayo;PETG;;PETG Zitronengelb;#FDD835
Jayo;PETG;;PETG Schokolade;
Jayo;PETG;;PETG Sakura Rosa;#FF66CC
Jayo;PETG;;PETG Kohlefaser;
Jayo;PLA+;Silk;SILK PLA+ Schwarz;#000000
Jayo;PLA+;Silk;SILK PLA+ Weiß;#FFFFFF
Jayo;PLA+;Silk;SILK PLA+ Grau;#9E9E9E
Jayo;PLA+;Silk;SILK PLA+ Gold;#D4AF37
Jayo;PLA+;Silk;SILK PLA+ Silber;
Jayo;PLA+;Silk;SILK PLA+ Rotes Kupfer;#E53935
Jayo;PLA+;Silk;Zweifarbig Schwarz & Blau;#000000
Jayo;PLA+;Silk;Zweifarbig Schwarz & Grün;#000000
Jayo;PLA+;Silk;Zweifarbig Schwarz & Gold;#000000
Jayo;PLA+;Silk;Zweifarbig Schwarz & Lila;#000000
Jayo;PLA+;Silk;Zweifarbig Rosa & Gold;#FF66CC
Jayo;PLA+;Silk;Zweifarbig Rot & Blau;#E53935
Jayo;PLA+;Silk;Zweifarbig Rot & Gold;#E53935
Jayo;PLA+;Silk;Dreifarbig Blau & Grün & Lila;#1E88E5
Jayo;PLA+;Silk;Dreifarbig Rot & Gelb & Grün;#E53935
Jayo;PLA+;Silk;Zweifarbig Blau & Grün;#1E88E5
Jayo;PLA+;Silk;Zweifarbig Grün & Lila;#43A047
Jayo;PLA+;Silk;Zweifarbig Schwarz & Weiß;#000000
Jayo;PLA+;Silk;Dreifarbig Rot & Gelb & Blau;#E53935
Jayo;PLA+;Silk;Dreifarbig Schwarz & Gold & Lila;#000000
Jayo;PLA+;Silk;Dreifarbig Orange & Blau & Grün;#1E88E5
Jayo;PLA+;Silk;Vierfarbig Schwarz & Grau & Rot & Gelb;#000000
Jayo;PLA+;Silk;Vierfarbig Blau & Lila & Orange & Gelb;#1E88E5
Jayo;PLA+;Silk;Vierfarbig Blau & Lila & Rot & Gold;#E53935
Jayo;PLA+;Silk;Vierfarbig Rot & Gelb & Grün & Schwarz;#000000
Jayo;PLA;Meta;PLA Meta Schwarz;#000000
Jayo;PLA;Meta;PLA Meta Weiß;#FFFFFF
Jayo;PLA;Meta;PLA Meta Grau;#9E9E9E
Jayo;PLA;Meta;PLA Meta Rot;#E53935
Jayo;PLA;Meta;PLA Meta Blau;#1E88E5
Jayo;PLA;Meta;PLA Meta Grün;#43A047
Jayo;PLA;Meta;PLA Meta Rosa;#FF66CC
Jayo;PLA;Meta;PLA Meta Gelb;#FDD835
Jayo;PLA;Meta;PLA Meta Olivgrün;#43A047
Jayo;PLA;Matt;PLA Matt Schwarz;#000000
Jayo;PLA;Matt;PLA Matt Weiß;#FFFFFF
Jayo;PLA;Matt;PLA Matt Grau;#9E9E9E
Jayo;PLA;Matt;PLA Matt Rot;#E53935
Jayo;PLA;Matt;PLA Matt Blau;#1E88E5
Jayo;PLA;Matt;PLA Matt Grün;#43A047
Jayo;PLA;Matt;PLA Matt Rosa;#FF66CC
Jayo;PLA;Matt;PLA Matt Olivgrün;#43A047
Jayo;PLA;Matt;PLA Matt Orange;#FB8C00
Jayo;PLA;Matt;PLA Matt Lila;#8E24AA
Jayo;PLA;Matt;PLA Matt Hellblau;#1E88E5
Jayo;PLA;Matt;PLA Matt Lehm;
Jayo;PLA;High Speed;Schwarz PLA High Speed;#000000
Jayo;PLA;High Speed;Weiß PLA High Speed;#FFFFFF
Jayo;PLA;High Speed;Grau PLA High Speed;#9E9E9E
Jayo;PLA;High Speed;Rot PLA High Speed;#E53935
Jayo;PLA;High Speed;Blau PLA High Speed;#1E88E5
Jayo;PLA;High Speed;Grün PLA High Speed;#43A047
Jayo;PLA;High Speed;Orange PLA High Speed;#FB8C00
Jayo;PLA;High Speed;Gelb PLA High Speed;#FDD835
Jayo;PLA;High Speed;Olivgrün PLA High Speed;#43A047
Jayo;PLA;High Speed;PLA High Speed Schwarz (Recyceltes Filament);#000000
Jayo;PLA;Glow in the Dark;Blau bis Blau;#1E88E5
Jayo;PLA;Glow in the Dark;Grün bis Grün;#43A047
Jayo;PLA;Glow in the Dark;Rot bis Rot;#E53935
Jayo;PLA;Glow in the Dark;Gelb bis Gelb;#FDD835
Jayo;PLA;Glow in the Dark;Weiß bis Blau;#FFFFFF
Jayo;PLA;Glow in the Dark;Weiß bis Grün;#FFFFFF
Jayo;TPU;;Schwarz;#000000
Jayo;TPU;;Weiß;#FFFFFF
Jayo;TPU;Silk;TPU Silk Schwarz;#000000
Jayo;TPU;Silk;TPU Silk Cremeweiß;#FFFFFF
Jayo;TPU;Silk;TPU Silk Weinrot;#E53935
Jayo;ABS;;Schwarz;#000000
Jayo;ABS;;Grau;#9E9E9E
Jayo;ABS;;Weiß;#FFFFFF
Jayo;ABS;;Rot;#E53935
Jayo;ABS;Easy;Easy ABS Schwarz;#000000
Jayo;ABS;Easy;Easy ABS Weiß;#FFFFFF
Jayo;ABS;Easy;Easy ABS Grau;#9E9E9E
Jayo;ABS;Easy;Easy ABS Blau;#1E88E5
Jayo;ASA;;Schwarz;#000000
Jayo;ASA;;Weiß;#FFFFFF
Jayo;ASA;;Rot;#E53935
Jayo;PLA;AntiString;APLA Schwarz;#000000
Jayo;PLA;AntiString;APLA Grau;#9E9E9E
Jayo;PLA;AntiString;APLA Cremeweiß;#FFFFFF
Jayo;PLA+;2.0;PLA+2.0 Schwarz;#000000
Jayo;PLA+;2.0;PLA+2.0 Weiß;#FFFFFF
Jayo;PLA+;2.0;PLA+2.0 Grau;#9E9E9E
Jayo;PLA+;2.0;PLA+2.0 Blaugrau;#1E88E5
Jayo;PLA+;2.0;PLA+2.0 Rot;#E53935
Jayo;PLA+;2.0;PLA+2.0 Blau;#1E88E5
Jayo;PLA+;2.0;PLA+2.0 Grün;#43A047
Jayo;PLA+;2.0;PLA+2.0 Gelb;#FDD835
Jayo;PLA+;2.0;PLA+2.0 Orange;#FB8C00
Jayo;PLA+;2.0;PLA+2.0 Reines Gelb;#FDD835
Jayo;PLA+;2.0;PLA+2.0 Grasgrün;#43A047
Jayo;PLA+;2.0;PLA+2.0 Lila;#8E24AA
Jayo;PLA+;2.0;PLA+2.0 Fuchsia;
Jayo;PLA+;2.0;PLA+2.0 Beige;#F5F5DC
Jayo;PLA+;2.0;PLA+2.0 Silber;
Jayo;PLA+;2.0;PLA+2.0 Mintgrün;#43A047
Jayo;PLA+;2.0;PLA+2.0 Kirschrot;#E53935
Jayo;PLA+;2.0;PLA+2.0 Zitronengelb;#FDD835
Jayo;PLA+;2.0;PLA+2.0 Sonniges Orange;#FB8C00
Jayo;PLA+;2.0;PLA+2.0 Himmelblau;#1E88E5
